Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day.1_% Px Chng ,$ Change_Opening,$ Change.1_Close,Star_Ratings,Performed
2005-12-01,DCP Midstream Partners ,DPM,Lehman Brothers/Citigroup,21.5,22.9,23.05,0.07209302325581399,1.3999999999999986,1.5500000000000007,3,
2005-12-06,Vocus ,VOCS,Thomas Weisel Partners/RBC Capital Markets,9.0,9.27,10.0,0.1111111111111111,0.2699999999999996,1.0,2,
2005-12-09,WiderThan ,WTHN,JPMorgan/Merrill Lynch,12.0,14.5,12.0,0.0,2.5,0.0,1,
2005-12-09,Basic Energy Services ,BAS,Goldman Sachs/Credit Suisse First Boston,20.0,22.0,21.5,0.075,2.0,1.5,3,
2005-12-09,Cynosure ,CYNO,Citigroup,15.0,16.99,18.93,0.262,1.9899999999999984,3.93,2,
2005-12-12,Scopus Video Networks ,SCOP,Thomas Weisel Partners/CIBC Worldmarkets,7.0,7.02,7.24,0.03428571428571432,0.01999999999999957,0.2400000000000002,1,
2005-12-12,CapitalSouth Bancorp ,CAPB,Sterne Agee & Leach,18.5,19.0,18.5,0.0,0.5,0.0,2,
2005-12-12,DealerTrack Holdings ,TRAK,Lehman Brothers/JP Morgan,17.0,19.75,19.25,0.1323529411764706,2.75,2.25,3,
2005-12-13,Suntech Power Holdings ,STP,Credit Suisse First Boston/Morgan Stanley,15.0,20.35,21.2,0.4133333333333333,5.350000000000001,6.199999999999998,2,
2005-12-14,Republic Property Trust,RPB,Lehman Brothers/Bear Stearns,12.0,12.0,12.0,0.0,0.0,0.0,1,
2005-12-14,Somaxon Pharmaceuticals ,SOMX,Morgan Stanley/JP Morgan,11.0,11.0,10.71,-0.026363636363636287,0.0,-0.28999999999999915,1,
2005-12-14,Carolina National Bank ,CNCP,Scott & Stringfellow,16.0,16.85,17.0,0.0625,0.8500000000000014,1.0,2,
