Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st_Day_Return,change_open,change_close,Star_Ratings,Performed,year,CUSIP,Offer Date,IPO Name,Ticker,VC Dummy,Rollup dummy,CRSP PERM,Dual dummy,Internet dummy,Post-Issue shares,Founding,uw_max_rank,top_tier_uw,month,avg_net_ipo,num_ipo,net_num_ipo,perc_price_above,ASVI,mean_SVI,week_-9,week_-8,week_-7,week_-6,week_-5,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
2013-07-24,Jones Energy,JONE,J.P. Morgan/ Barclays/ Wells Fargo Securities,15.0,14.04,13.83,-0.078,-0.9600000000000009,-1.17,1,,2013.0,48019R108,2013-07-23,Jones Energy Inc,JONE,0,0,14026,1,0,50836333,1988.0,9.001,1,7.0,19.3,23.0,15,0.33,0.4139757108573603,42.5,30.0,36.0,38.0,40.0,43.0,49.0,40.0,35.0,59.0,100.0,37.0,30.0,43.0,42.0,42.0,38.0,38.0,46.0,50.0
2013-07-25,Cellular Dynamics International,ICEL,J.P. Morgan,12.0,11.0,9.5,-0.20833333333333331,-1.0,-2.5,3,Missed,2013.0,15117V109,2013-07-24,Cellular Dynamics Intl Inc,ICEL,1,0,14052,0,0,.,2007.0,9.001,1,7.0,19.3,23.0,15,0.33,1.966112242087369,31.875,14.0,14.0,27.0,14.0,14.0,14.0,29.0,43.0,100.0,42.0,14.0,28.0,14.0,0.0,14.0,0.0,26.0,13.0,40.0
2013-07-25,Conatus Pharmaceuticals,CNAT,Stifel/ Piper Jaffray,11.0,11.21,9.5,-0.13636363636363635,0.21000000000000085,-1.5,2,Missed,2013.0,20600T108,2013-07-24,Conatus Pharmaceuticals Inc,CNAT,1,0,14046,0,0,.,2005.0,7.001,0,7.0,19.3,23.0,15,0.33,1.4087665301036507,18.125,0.0,11.0,0.0,11.0,11.0,11.0,11.0,45.0,45.0,100.0,44.0,11.0,23.0,11.0,11.0,11.0,0.0,0.0,21.0
2013-07-25,Onconova Therapeutics,ONTX,Citigroup/ Leerink Swann,15.0,25.0,19.88,0.32533333333333325,10.0,4.879999999999999,3,,2013.0,68232V108,2013-07-24,Onconova Therapeutics Inc,ONTX,0,0,14056,0,0,.,1998.0,9.001,1,7.0,19.3,23.0,15,0.33,0.0,26.375,46.0,0.0,23.0,0.0,46.0,70.0,24.0,24.0,24.0,70.0,70.0,70.0,0.0,23.0,0.0,45.0,0.0,0.0,0.0
2013-07-25,Silver Eagle Acquisition,EAGLU,Deutsche Bank Securities,10.0,10.0,10.0,0.0,0.0,0.0,1,,2013.0,827694209,2013-07-25,Silver Eagle Acquisition Corp,EAGLU,0,0,14153,1,0,70000000,2013.0,8.501,1,7.0,19.3,23.0,15,0.33,,,,,,,,,,,,,,,,,,,,,
2013-07-25,WCI Communities,WCIC,Citigroup/ Credit Suisse/ J.P. Morgan,15.0,15.25,15.12,0.007999999999999948,0.25,0.11999999999999922,1,,2013.0,92923C807,2013-07-24,WCI Communities Inc,WCIC,2,0,14043,0,0,.,1946.0,9.001,1,7.0,19.3,23.0,15,0.33,,,,,,,,,,,,,,,,,,,,,
2013-07-26,Liquid Holdings Group,LIQD,Sandler ONeill & Partners,9.0,9.06,7.64,-0.15111111111111114,0.0600000000000005,-1.3600000000000003,1,,2013.0,53633A101,2013-07-25,Liquid Holdings Group Inc,LIQD,0,0,14053,0,0,.,2008.0,7.501,0,7.0,19.3,23.0,15,0.33,0.6931466805603206,15.125,39.0,0.0,0.0,0.0,20.0,20.0,0.0,61.0,20.0,100.0,40.0,60.0,61.0,20.0,0.0,19.0,0.0,37.0,0.0
2013-07-26,"Marlin Midstream Partners, LP",FISH,Stifel/ Baird/ Oppenheimer,20.0,19.51,19.5,-0.025,-0.4899999999999984,-0.5,2,Missed,2013.0,57118V100,2013-07-25,Marlin Midstream Partners LP,FISH,0,0,14049,1,0,0,,7.001,0,7.0,19.3,23.0,15,0.33,,,,,,,,,,,,,,,,,,,,,
2013-08-01,American Homes 4 Rent,AMH,"Goldman, Sachs/ BofA Merrill Lynch/ J.P. Morgan/ Wells Fargo Securities",16.0,15.59,13.5,-0.15625,-0.41000000000000014,-2.5,1,,2013.0,02665T306,2013-07-31,American Homes 4 Rent,AMH,0,0,14061,1,0,185491294,,9.001,1,8.0,20.7,16.0,12,0.5,0.10956218066446022,49.375,47.0,37.0,42.0,53.0,55.0,62.0,48.0,45.0,53.0,100.0,61.0,55.0,54.0,62.0,51.0,36.0,41.0,34.0,38.0
2013-08-01,Ardmore Shipping,ASC,Morgan Stanley/ Jefferies/ Clarkson Capital Markets,14.0,13.5,15.6,0.11428571428571425,-0.5,1.5999999999999996,1,,2013.0,Y0207T100,2013-07-31,Ardmore Shipping Corp,ASC,0,0,14092,0,0,.,2010.0,8.001,1,8.0,20.7,16.0,12,0.5,0.8556659747636255,45.25,12.0,36.0,49.0,12.0,50.0,51.0,51.0,13.0,100.0,100.0,38.0,89.0,25.0,37.0,59.0,58.0,12.0,23.0,47.0
